title,channelName,viewCount,likes,date,duration,type,url,commentsCount,upload_year,upload_month,upload_day,upload_hour,engagement_rate,like_ratio,comment_ratio,popularity_score
Every Machine Learning Model Explained in 15 minutes,Brain Station Advanced,268049.0,11000.0,2026-03-02 12:30:13+00:00,00:16:03,video,https://www.youtube.com/watch?v=63Kr3HFECHM,89.0,2026,March,Monday,12,4.136930188137244,4.103727303590015,0.033202884547228306,137342.3
Machine Learning for Everybody – Full Course,freeCodeCamp.org,10172516.0,109000.0,2022-09-26 16:00:28+00:00,03:53:53,video,https://www.youtube.com/watch?v=i_LwzRVP7bg,2306.0,2022,September,Monday,16,1.094183582508005,1.071514657730693,0.02266892477731173,5119419.2
11. Introduction to Machine Learning,MIT OpenCourseWare,1815363.0,26000.0,2017-05-19 14:22:40+00:00,00:51:30,video,https://www.youtube.com/watch?v=h0e2HAPTGF4,514.0,2017,May,Friday,14,1.460534339413109,1.4322204429637488,0.028313896449360266,915584.3
Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,Simplilearn,5486835.0,68000.0,2018-09-19 14:57:02+00:00,00:07:52,video,https://www.youtube.com/watch?v=ukzFI9rgwfU,2227.0,2018,September,Wednesday,14,1.279918204210624,1.2393301420582175,0.04058806215240662,2764262.9
Machine Learning Explained Simply (In 12 Minutes),The Gradient Descent,115149.0,5000.0,2026-01-07 02:00:10+00:00,00:12:24,video,https://www.youtube.com/watch?v=Au1OxVSyGas,120.0,2026,January,Wednesday,2,4.4464129084924755,4.342200105949683,0.10421280254279239,59098.5
Machine Learning & Artificial Intelligence: Crash Course Computer Science #34,CrashCourse,995440.0,20000.0,2017-11-01 21:50:13+00:00,00:11:51,video,https://www.youtube.com/watch?v=z-EtmaFJieY,443.0,2017,November,Wednesday,21,2.0536647110825363,2.009161777706341,0.04450293337619545,503808.6
Essential Machine Learning and AI Concepts Animated,freeCodeCamp.org,315152.0,11000.0,2025-04-22 15:40:29+00:00,00:27:51,video,https://www.youtube.com/watch?v=PcbuKRNtCUc,154.0,2025,April,Tuesday,15,3.539244555008377,3.4903792455703915,0.04886530943798548,160906.8
How to learn Machine Learning like a GENIUS and not waste time,Tech With Tim,107944.0,4800.0,2026-05-26 12:48:45+00:00,00:15:19,video,https://www.youtube.com/watch?v=_hdUddANh_o,93.0,2026,May,Tuesday,12,4.532905951233973,4.446750166753131,0.08615578448084192,55430.6
A Gentle Introduction to Machine Learning,StatQuest with Josh Starmer,1590094.0,25000.0,2018-11-26 17:00:01+00:00,00:12:45,video,https://www.youtube.com/watch?v=Gv9_4yMHFhI,1159.0,2018,November,Monday,17,1.645122866950004,1.5722340943365614,0.07288877261344298,802778.8
What does a Data Analyst actually do? (in 2024) Q&A,Tim Joo,105748.0,4600.0,2024-03-15 16:00:35+00:00,00:14:26,video,https://www.youtube.com/watch?v=eyhrJ5Ep7Ao,298.0,2024,March,Friday,16,4.631766085410599,4.349964065514241,0.2818020198963574,54313.6
