"title","channelName","viewCount","likes","date","duration","type","url","commentsCount"
"Every Machine Learning Model Explained in 15 minutes","Brain Station Advanced","268049","11000","2026-03-02T12:30:13.000Z","00:16:03","video","https://www.youtube.com/watch?v=63Kr3HFECHM","89"
"Machine Learning for Everybody – Full Course","freeCodeCamp.org","10172516","109000","2022-09-26T16:00:28.000Z","03:53:53","video","https://www.youtube.com/watch?v=i_LwzRVP7bg","2306"
"11. Introduction to Machine Learning","MIT OpenCourseWare","1815363","26000","2017-05-19T14:22:40.000Z","00:51:30","video","https://www.youtube.com/watch?v=h0e2HAPTGF4","514"
"Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn","Simplilearn","5486835","68000","2018-09-19T14:57:02.000Z","00:07:52","video","https://www.youtube.com/watch?v=ukzFI9rgwfU","2227"
"Machine Learning Explained Simply (In 12 Minutes)","The Gradient Descent","115149","5000","2026-01-07T02:00:10.000Z","00:12:24","video","https://www.youtube.com/watch?v=Au1OxVSyGas","120"
"Machine Learning & Artificial Intelligence: Crash Course Computer Science #34","CrashCourse","995440","20000","2017-11-01T21:50:13.000Z","00:11:51","video","https://www.youtube.com/watch?v=z-EtmaFJieY","443"
"Essential Machine Learning and AI Concepts Animated","freeCodeCamp.org","315152","11000","2025-04-22T15:40:29.000Z","00:27:51","video","https://www.youtube.com/watch?v=PcbuKRNtCUc","154"
"How to learn Machine Learning like a GENIUS and not waste time","Tech With Tim","107944","4800","2026-05-26T12:48:45.000Z","00:15:19","video","https://www.youtube.com/watch?v=_hdUddANh_o","93"
"A Gentle Introduction to Machine Learning","StatQuest with Josh Starmer","1590094","25000","2018-11-26T17:00:01.000Z","00:12:45","video","https://www.youtube.com/watch?v=Gv9_4yMHFhI","1159"
"What does a Data Analyst actually do? (in 2024) Q&A","Tim Joo","105748","4600","2024-03-15T16:00:35.000Z","00:14:26","video","https://www.youtube.com/watch?v=eyhrJ5Ep7Ao","298"
"The Complete Machine Learning Roadmap","Programming with Mosh","1059644","28000","2024-07-18T13:00:06.000Z","00:05:24","video","https://www.youtube.com/watch?v=7IgVGSaQPaw","901"
"Machine Learning Explained in 100 Seconds","Fireship","1081095","39000","2021-09-09T17:31:56.000Z","00:02:34","video","https://www.youtube.com/watch?v=PeMlggyqz0Y","668"
"2026 FREE Data Analyst Bootcamp [24 Hours+] for FREE | SQL, Excel, Python, Power BI, GitHub, AWS","Alex The Analyst","458510","19000","2026-05-19T12:30:29.000Z","28:41:07","video","https://www.youtube.com/watch?v=cnjhHZNJEDk","1105"
"Stanford CS229: Machine Learning Lecture 1 - Andrew Ng (Autumn 2018)","Stanford Online","4594527","60000","2020-04-17T20:07:45.000Z","01:15:20","video","https://www.youtube.com/watch?v=jGwO_UgTS7I","1213"
"Excel for Data Analytics - Full Course for Beginners","Luke Barousse","3155238","74000","2024-10-14T12:01:06.000Z","10:59:43","video","https://www.youtube.com/watch?v=pCJ15nGFgVg","4073"
"What is Machine Learning?","IBM Technology","371258","6500","2021-07-14T14:07:15.000Z","00:08:23","video","https://www.youtube.com/watch?v=9gGnTQTYNaE","142"
"8 Years of Data Analytics Advice in 12 Minutes","Jess Ramos | Data, AI, & Tech ⚡️","92361","3600","2025-10-14T14:54:02.000Z","00:12:19","video","https://www.youtube.com/watch?v=WDjpPG55qTU","125"
"PyTorch for Deep Learning & Machine Learning – Full Course","freeCodeCamp.org","3403358","67000","2022-10-06T14:13:05.000Z","25:37:25","video","https://www.youtube.com/watch?v=V_xro1bcAuA","2140"
"The FASTEST Data Analyst Roadmap for Career Changers in 2026 [FREE COURSE]","Kedeisha Bryan - Your Data Career Coach","22119","1000","2025-04-09T21:00:49.000Z","00:57:06","video","https://www.youtube.com/watch?v=4x4YI3chd6A","91"
"All Machine Learning algorithms explained in 17 min","Infinite Codes","2094680","75000","2024-09-17T08:57:32.000Z","00:16:29","video","https://www.youtube.com/watch?v=E0Hmnixke2g","744"
"Data Analyst Bootcamp for Beginners (SQL, Tableau, Power BI, Python, Excel, Pandas, Projects, more)","freeCodeCamp.org","2059536","59000","2024-01-09T14:51:14.000Z","19:23:46","video","https://www.youtube.com/watch?v=PSNXoAs2FtQ","1218"
"IBM Data Analyst Complete Course | Data Analyst Tutorial For Beginners,","My Lesson","2789063","77000","2022-11-17T23:08:16.000Z","15:18:23","video","https://www.youtube.com/watch?v=1PAy6d16ADQ","973"
"How I'd become a data analyst (if i had to start over) in 2026","Agatha","1188690","54000","2024-01-12T14:00:27.000Z","00:08:56","video","https://www.youtube.com/watch?v=dJA7k58zlA8","1451"
